09:35:49 INFO  - Start find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_break_plus_btn']
09:35:50 INFO  - Find find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_break_plus_btn']
09:35:50 INFO  - Start find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_break_plus_btn']
09:35:51 INFO  - Find find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_break_plus_btn']
09:35:51 INFO  - Start find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_wage_edit']
09:35:52 INFO  - Find find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_wage_edit']
09:35:52 INFO  - Start find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_wage_input']
09:35:53 INFO  - Find find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_wage_input']
09:35:53 INFO  - Start find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_wage_input']
09:35:54 INFO  - Find find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_wage_input']
09:35:55 INFO  - Start find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_wage_input']
09:35:55 INFO  - Find find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_wage_input']
09:35:55 INFO  - Start find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_wage_save']
09:35:56 INFO  - Find find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_wage_save']
09:35:56 INFO  - Start find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_save_btn']
09:35:58 INFO  - Find find element-->By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/info_save_btn']
09:35:58 INFO  - Start find element-->By.chained({By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/fab_main']})
09:36:00 INFO  - Find find element-->By.chained({By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/fab_main']})
09:36:01 INFO  - Start find element-->By.chained({By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/fab_main']})
09:36:01 INFO  - Find find element-->By.chained({By.xpath: //*[@resource-id='com.example.svetlana.scheduler:id/fab_main']})
09:36:01 INFO  - Stop methodeventCreationTest
